			Номер страницы		SLP1		SLP1		IAST  + фopмa		RUS		ENG		CHEH	
<L>	90	<pc>	14	<K1>	ajAmi	</K1><K2>	ajAmi	</K2>@<K2>	ajāmi	</K2><p><LANG n = "RUSSIAN">	не родственный, недозволенный между братьями и сетрами	</LANG><p><LANG n = "ENGLISH">	not of kin, not allowed between brothers and sisters	</LANG><p><LANG n = "CZECH">	nepříbuzný, nedovolený mezi sourozenci	<p>@<LEND>
<L>	91	<pc>	14	<K1>	ajAvika	</K1><K2>	ajAvika	</K2>@<K2>	ajāvika n.	</K2><p><LANG n = "RUSSIAN">	козы и овцы, мелкий скот	</LANG><p><LANG n = "ENGLISH">	goats and sheep, small cattle 	</LANG><p><LANG n = "CZECH">	kozy a ovce, brav	<p>@<LEND>
<L>	92	<pc>	14	<K1>	ajASva	</K1><K2>	ajASva	</K2>@<K2>	ajāśva	</K2><p><LANG n = "RUSSIAN">	пользующийся козами как лошадьми	</LANG><p><LANG n = "ENGLISH">	having goats for horses	</LANG><p><LANG n = "CZECH">	užívající koz jako koní	<p>@<LEND>
<L>	93	<pc>	14	<K1>	ajita	</K1><K2>	ajita	</K2>@<K2>	ajita	</K2><p><LANG n = "RUSSIAN">	непобежденный, непобедимый	</LANG><p><LANG n = "ENGLISH">	not conquered, invincible 	</LANG><p><LANG n = "CZECH">	nepřemožený, nepřemožitelný	<p>@<LEND>
<L>	94	<pc>	14	<K1>	ajYAna	</K1><K2>	ajYAna	</K2>@<K2>	ajñāna n.	</K2><p><LANG n = "RUSSIAN">	незнание; abl. бессознательно	</LANG><p><LANG n = "ENGLISH">	non-cognizance, ignorance; abl. unawares	</LANG><p><LANG n = "CZECH">	nevědění, neznalost; аbl. nevědomky	<p>@<LEND>
<L>	95	<pc>	14	<K1>	ajYAnatA	</K1><K2>	ajYAnatA	</K2>@<K2>	 +ajñānatā f. abstr.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	96	<pc>	14	<K1>	ajya	</K1><K2>	ajya	</K2>@<K2>	ajya absol. < añj, q. v. 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">	a 	</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	97	<pc>	14	<K1>	ajra	</K1><K2>	ajra	</K2>@<K2>	ajra m.	</K2><p><LANG n = "RUSSIAN">	равнина, нива	</LANG><p><LANG n = "ENGLISH">	plain, field	</LANG><p><LANG n = "CZECH">	rovina, niva	<p>@<LEND>
<L>	98	<pc>	14	<K1>	aYj	</K1><K2>	aYj	</K2>@<K2>	√añj anakti, aṅkte, pp. akta, añjita	</K2><p><LANG n = "RUSSIAN">	мазать, натирать, украшать, делать ясным	</LANG><p><LANG n = "ENGLISH">	to smear, anoint, decorate, make clear 	</LANG><p><LANG n = "CZECH">	mazati, natírati, zdobiti, činiti jasným	<p>@<LEND>
<L>	99	<pc>	14	<K1>	aByaYj	</K1><K2>	aByaYj	</K2>@<K2>	 +abhi (abhyañj) id.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	100	<pc>	14	<K1>	vyaktAYj	</K1><K2>	vyaktAYj	</K2>@<K2>	 +vyakta (vyaktāñj)	</K2><p><LANG n = "RUSSIAN">	украшенный, ясный, очевидный	</LANG><p><LANG n = "ENGLISH">	adorned, manifest, visible 	</LANG><p><LANG n = "CZECH">	ozdoben, jasný, zjevný	<p>@<LEND>
<L>	101	<pc>	14	<K1>	samaYj	</K1><K2>	samaYj	</K2>@<K2>	 +sam (samañj)	</K2><p><LANG n = "RUSSIAN">	натирать, складывать, соединять	</LANG><p><LANG n = "ENGLISH">	to anoint, put together, unite 	</LANG><p><LANG n = "CZECH">	natírati, skládati, spojovati	<p>@<LEND>
<L>	102	<pc>	14	<K1>	aYjana	</K1><K2>	aYjana	</K2>@<K2>	añjana n.	</K2><p><LANG n = "RUSSIAN">	мазание, натирание, мазь, сурьма	</LANG><p><LANG n = "ENGLISH">	smearing, anointing, ointment, antimony	</LANG><p><LANG n = "CZECH">	mazání, natírání, mast, antimon	<p>@<LEND>
<L>	103	<pc>	14	<K1>	aYjali	</K1><K2>	aYjali	</K2>@<K2>	añjali m.	</K2><p><LANG n = "RUSSIAN">	соединение обоих ладоней, привет, пригоршня в качестве меры	</LANG><p><LANG n = "ENGLISH">	the two hollowed palms put together, salutation, a measure 	</LANG><p><LANG n = "CZECH">	spojení obou dlaní, pozdrav, přehoušle jako míra	<p>@<LEND>
<L>	104	<pc>	14	<K1>	aYji	</K1><K2>	aYji	</K2>@<K2>	añji 	</K2><p><LANG n = "RUSSIAN">	употребляющий мазь или грим; m., n. мазь, грим, цвет, украшение	</LANG><p><LANG n = "ENGLISH">	applying an ointment or pigment; m., n. an ointment, paint, ornament	</LANG><p><LANG n = "CZECH">	užívající masti nebo líčidla; m., n. mast, líčidlo, barva, ozdoba	<p>@<LEND>
<L>	105	<pc>	14	<K1>	aw	</K1><K2>	aw	</K2>@<K2>	√aṭ aṭati	</K2><p><LANG n = "RUSSIAN">	ходить туда-сюда, бродить	</LANG><p><LANG n = "ENGLISH">	to wander about, roam 	</LANG><p><LANG n = "CZECH">	choditi sem tam, potulovati se	<p>@<LEND>
<L>	106	<pc>	14	<K1>	awana	</K1><K2>	awana	</K2>@<K2>	aṭana n.	</K2><p><LANG n = "RUSSIAN">	блуждание, хождение без цели	</LANG><p><LANG n = "ENGLISH">	rambling, stroll 	</LANG><p><LANG n = "CZECH">	toulání, toulka	<p>@<LEND>
<L>	107	<pc>	14	<K1>	awavi	</K1><K2>	awavi	</K2>@<K2>	aṭavi, aṭavī f.	</K2><p><LANG n = "RUSSIAN">	лес	</LANG><p><LANG n = "ENGLISH">	a forest	</LANG><p><LANG n = "CZECH">	les 	<p>@<LEND>
<L>	108	<pc>	14	<K1>	awwahasita	</K1><K2>	awwahasita	</K2>@<K2>	aṭṭahasita, n., aṭṭahāsa m.	</K2><p><LANG n = "RUSSIAN">	громкий смех	</LANG><p><LANG n = "ENGLISH">	loud laughter 	</LANG><p><LANG n = "CZECH">	hlasitý * smích	<p>@<LEND>
<L>	109	<pc>	14	<K1>	awwAla	</K1><K2>	awwAla	</K2>@<K2>	aṭṭāla m.	</K2><p><LANG n = "RUSSIAN">	сторожевая башня	</LANG><p><LANG n = "ENGLISH">	а watch-tower	</LANG><p><LANG n = "CZECH">	strážní věž 	<p>@<LEND>
<L>	110	<pc>	14	<K1>	aRiman	</K1><K2>	aRiman	</K2>@<K2>	aṇiman m.	</K2><p><LANG n = "RUSSIAN">	нежность, нежная частица, мелочь	</LANG><p><LANG n = "ENGLISH">	fineness, fine particle, minuteness 	</LANG><p><LANG n = "CZECH">	jemnost, jemná částečka, drobnost	<p>@<LEND>
<L>	111	<pc>	14	<K1>	aRizWa	</K1><K2>	aRizWa	</K2>@<K2>	aṇiṣṭha superl., aṇīyaṃs compar. < aṇu, q. v.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	112	<pc>	14	<K1>	aRu	</K1><K2>	aRu	</K2>@<K2>	aṇu	</K2><p><LANG n = "RUSSIAN">	нежный, ничтожный, мелкий	</LANG><p><LANG n = "ENGLISH">	fine, minute, atomic 	</LANG><p><LANG n = "CZECH">	jemný, nepatrný, drobný	<p>@<LEND>
<L>	113	<pc>	14	<K1>	aRqa	</K1><K2>	aRqa	</K2>@<K2>	aṇḍa n.	</K2><p><LANG n = "RUSSIAN">	яйцо	</LANG><p><LANG n = "ENGLISH">	an egg	</LANG><p><LANG n = "CZECH">	vejce 	<p>@<LEND>
<L>	114	<pc>	14	<K1>	aRqaja	</K1><K2>	aRqaja	</K2>@<K2>	 +ja (aṇḍaja)	</K2><p><LANG n = "RUSSIAN">	рожденный из яйца; m. птица	</LANG><p><LANG n = "ENGLISH">	egg-born; m. a bird 	</LANG><p><LANG n = "CZECH">	narozený z vejce; m. pták	<p>@<LEND>
<L>	115	<pc>	14	<K1>	atadDita	</K1><K2>	atadDita	</K2>@<K2>	ataddhita neg. < taddhita, q. v. 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	116	<pc>	14	<K1>	atapta	</K1><K2>	atapta	</K2>@<K2>	atapta	</K2><p><LANG n = "RUSSIAN">	ненагретый, немученный	</LANG><p><LANG n = "ENGLISH">	not heated, not afflicted 	</LANG><p><LANG n = "CZECH">	nenahřátý, netrápený	<p>@<LEND>
<L>	117	<pc>	14	<K1>	atarkita	</K1><K2>	atarkita	</K2>@<K2>	atarkita	</K2><p><LANG n = "RUSSIAN">	необдуманный, неожиданный	</LANG><p><LANG n = "ENGLISH">	unconsidered, unexpected 	</LANG><p><LANG n = "CZECH">	neuvážený, nečekaný	<p>@<LEND>
<L>	118	<pc>	14-15	<K1>	atas	</K1><K2>	atas	</K2>@<K2>	atas adv.	</K2><p><LANG n = "RUSSIAN">	отсюда, поэтому, дальше, потом	</LANG><p><LANG n = "ENGLISH">	hence, therefore, afterwards, then 	</LANG><p><LANG n = "CZECH">	odtud, proto, dáte, pak 	<p>@<LEND>
<L>	119	<pc>	15	<K1>	ataH	</K1><K2>	ataH	</K2>@<K2>	ataḥ param	</K2><p><LANG n = "RUSSIAN">	потом	</LANG><p><LANG n = "ENGLISH">	further on	</LANG><p><LANG n = "CZECH">	potom	<p>@<LEND>
<L>	120	<pc>	15	<K1>	ataskara	</K1><K2>	ataskara	</K2>@<K2>	ataskara	</K2><p><LANG n = "RUSSIAN">	без грабителей	</LANG><p><LANG n = "ENGLISH">	free from robbers 	</LANG><p><LANG n = "CZECH">	prost lupičů	<p>@<LEND>
<L>	121	<pc>	15	<K1>	atAttvika	</K1><K2>	atAttvika	</K2>@<K2>	atāttvika (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	нереальный	</LANG><p><LANG n = "ENGLISH">	not real	</LANG><p><LANG n = "CZECH">	nereálný	<p>@<LEND>
<L>	122	<pc>	15	<K1>	atAtparyavid	</K1><K2>	atAtparyavid	</K2>@<K2>	atātparyavid	</K2><p><LANG n = "RUSSIAN">	непонимающий смысл	</LANG><p><LANG n = "ENGLISH">	not understanding the meaning 	</LANG><p><LANG n = "CZECH">	nechápající smysl	<p>@<LEND>
<L>	123	<pc>	15	<K1>	ati	</K1><K2>	ati	</K2>@<K2>	ati adv.	</K2><p><LANG n = "RUSSIAN">	сверх того, очень	</LANG><p><LANG n = "ENGLISH">	beyond, very 	</LANG><p><LANG n = "CZECH">	nadto, velmi	<p>@<LEND>
<L>	124	<pc>	15	<K1>	ati	</K1><K2>	ati	</K2>@<K2>	prep. + acc.	</K2><p><LANG n = "RUSSIAN">	над, через	</LANG><p><LANG n = "ENGLISH">	beyond, over 	</LANG><p><LANG n = "CZECH">	nad, přes	<p>@<LEND>
<L>	125	<pc>	15	<K1>	atikopa	</K1><K2>	atikopa	</K2>@<K2>	atikopa m.	</K2><p><LANG n = "RUSSIAN">	чрезмерный гнев	</LANG><p><LANG n = "ENGLISH">	а great anger 	</LANG><p><LANG n = "CZECH">	přílišný hněv	<p>@<LEND>
<L>	126	<pc>	15	<K1>	atikomala	</K1><K2>	atikomala	</K2>@<K2>	atikomala	</K2><p><LANG n = "RUSSIAN">	очень нежный	</LANG><p><LANG n = "ENGLISH">	very delicate	</LANG><p><LANG n = "CZECH">	velmi jemný	<p>@<LEND>
<L>	127	<pc>	15	<K1>	atikrama	</K1><K2>	atikrama	</K2>@<K2>	atikrama m.	</K2><p><LANG n = "RUSSIAN">	нарушение, проступок, упущение	</LANG><p><LANG n = "ENGLISH">	going over, transgression, neglect	</LANG><p><LANG n = "CZECH">	překročení, přestupek, zanedbání	<p>@<LEND>
<L>	128	<pc>	15	<K1>	atikramaRa	</K1><K2>	atikramaRa	</K2>@<K2>	atikramaṇa n.	</K2><p><LANG n = "RUSSIAN">	нарушение, изнасилование	</LANG><p><LANG n = "ENGLISH">	transgression, violation 	</LANG><p><LANG n = "CZECH">	překročení, znásilnění	<p>@<LEND>
<L>	129	<pc>	15	<K1>	atikrAnta	</K1><K2>	atikrAnta	</K2>@<K2>	atikrānta (pp. < kram) 	</K2><p><LANG n = "RUSSIAN">	преступивший, преодолевший	</LANG><p><LANG n = "ENGLISH">	having transgressed or overcome 	</LANG><p><LANG n = "CZECH">	překročivší, překonavší	<p>@<LEND>
<L>	130	<pc>	15	<K1>	atigupta	</K1><K2>	atigupta	</K2>@<K2>	atigupta	</K2><p><LANG n = "RUSSIAN">	очень охраняемый или оберегаемый	</LANG><p><LANG n = "ENGLISH">	intensively guarded 	</LANG><p><LANG n = "CZECH">	velmi chráněn neb о střežen	<p>@<LEND>
<L>	131	<pc>	15	<K1>	atitAmra	</K1><K2>	atitAmra	</K2>@<K2>	atitāmra	</K2><p><LANG n = "RUSSIAN">	темнокрасный	</LANG><p><LANG n = "ENGLISH">	dark-red 	</LANG><p><LANG n = "CZECH">	tmavočervený	<p>@<LEND>
<L>	132	<pc>	15	<K1>	atiTi	</K1><K2>	atiTi	</K2>@<K2>	atithi m.	</K2><p><LANG n = "RUSSIAN">	гость	</LANG><p><LANG n = "ENGLISH">	a guest	</LANG><p><LANG n = "CZECH">	host	<p>@<LEND>
<L>	133	<pc>	15	<K1>	atidakza	</K1><K2>	atidakza	</K2>@<K2>	atidakṣa	</K2><p><LANG n = "RUSSIAN">	весьма способный	</LANG><p><LANG n = "ENGLISH">	very able	</LANG><p><LANG n = "CZECH">	velmi schopný	<p>@<LEND>
<L>	134	<pc>	15	<K1>	atidayita	</K1><K2>	atidayita	</K2>@<K2>	atidayita	</K2><p><LANG n = "RUSSIAN">	очень любящий	</LANG><p><LANG n = "ENGLISH">	very fond of	</LANG><p><LANG n = "CZECH">	velmi si libující	<p>@<LEND>
<L>	135	<pc>	15	<K1>	atidarpa	</K1><K2>	atidarpa	</K2>@<K2>	atidarpa m., n. pr.; lit.:	</K2><p><LANG n = "RUSSIAN">	"большое самомнение"	</LANG><p><LANG n = "ENGLISH">	"excessive conceit" 	</LANG><p><LANG n = "CZECH">	"velká domýšlivost"	<p>@<LEND>
<L>	136	<pc>	15	<K1>	atiduHsaha	</K1><K2>	atiduHsaha	</K2>@<K2>	atiduḥsaha	</K2><p><LANG n = "RUSSIAN">	с трудом переносимый	</LANG><p><LANG n = "ENGLISH">	very hard to bear 	</LANG><p><LANG n = "CZECH">	velmi těžko snesitelný	<p>@<LEND>
<L>	137	<pc>	15	<K1>	atidUra	</K1><K2>	atidUra	</K2>@<K2>	atidūra	</K2><p><LANG n = "RUSSIAN">	слишком далеко	</LANG><p><LANG n = "ENGLISH">	too far	</LANG><p><LANG n = "CZECH">	příliš daleko	<p>@<LEND>
<L>	138	<pc>	15	<K1>	atinidra	</K1><K2>	atinidra	</K2>@<K2>	atinidra	</K2><p><LANG n = "RUSSIAN">	преданный долгому сну	</LANG><p><LANG n = "ENGLISH">	given to excessive sleep 	</LANG><p><LANG n = "CZECH">	oddaný dlouhému spaní 	<p>@<LEND>
<L>	139	<pc>	15	<K1>	atiprabala	</K1><K2>	atiprabala	</K2>@<K2>	atiprabala	</K2><p><LANG n = "RUSSIAN">	очень сильный	</LANG><p><LANG n = "ENGLISH">	very strong, very heavy (said of rain) 	</LANG><p><LANG n = "CZECH">	velmi silný	<p>@<LEND>
<L>	140	<pc>	15	<K1>	atipraBUtatva	</K1><K2>	atipraBUtatva	</K2>@<K2>	atiprabhūtatva n.	</K2><p><LANG n = "RUSSIAN">	большое количество	</LANG><p><LANG n = "ENGLISH">	great number 	</LANG><p><LANG n = "CZECH">	velké množství	<p>@<LEND>
<L>	141	<pc>	15	<K1>	atibala	</K1><K2>	atibala	</K2>@<K2>	atibala	</K2><p><LANG n = "RUSSIAN">	очень сильный	</LANG><p><LANG n = "ENGLISH">	very strong or powerful 	</LANG><p><LANG n = "CZECH">	velmi silný	<p>@<LEND>
<L>	142	<pc>	15	<K1>	atiBAra	</K1><K2>	atiBAra	</K2>@<K2>	atibhāra m.	</K2><p><LANG n = "RUSSIAN">	большое бремя	</LANG><p><LANG n = "ENGLISH">	an excessive burden 	</LANG><p><LANG n = "CZECH">	velké břímě	<p>@<LEND>
<L>	143	<pc>	15	<K1>	atiBrama	</K1><K2>	atiBrama	</K2>@<K2>	atibhrama m.	</K2><p><LANG n = "RUSSIAN">	большая ошибка	</LANG><p><LANG n = "ENGLISH">	great error	</LANG><p><LANG n = "CZECH">	velký omyl	<p>@<LEND>
<L>	144	<pc>	15	<K1>	atimUrKa	</K1><K2>	atimUrKa	</K2>@<K2>	atimūrkha	</K2><p><LANG n = "RUSSIAN">	очень глупый	</LANG><p><LANG n = "ENGLISH">	excessively fool	</LANG><p><LANG n = "CZECH">	velmi hloupý	<p>@<LEND>
<L>	145	<pc>	15	<K1>	atirAtra	</K1><K2>	atirAtra	</K2>@<K2>	atirātra	</K2><p><LANG n = "RUSSIAN">	продолжающийся всю ночь	</LANG><p><LANG n = "ENGLISH">	performed over-night 	</LANG><p><LANG n = "CZECH">	trvající přes noc	<p>@<LEND>
<L>	146	<pc>	15	<K1>	atirikta	</K1><K2>	atirikta	</K2>@<K2>	atirikta	</K2><p><LANG n = "RUSSIAN">	оставшийся, выдающийся, отличающийся	</LANG><p><LANG n = "ENGLISH">	left apart, unequalled, different 	</LANG><p><LANG n = "CZECH">	zbylý, vynikající, odlišný	<p>@<LEND>
<L>	147	<pc>	15	<K1>	ativadant	</K1><K2>	ativadant	</K2>@<K2>	ativadant	</K2><p><LANG n = "RUSSIAN">	побеждающий в дискуссии	</LANG><p><LANG n = "ENGLISH">	overpowering in dispute 	</LANG><p><LANG n = "CZECH">	překonávající v diskusi	<p>@<LEND>
<L>	148	<pc>	15	<K1>	ativega	</K1><K2>	ativega	</K2>@<K2>	ativega	</K2><p><LANG n = "RUSSIAN">	чрезвычайно быстрый	</LANG><p><LANG n = "ENGLISH">	very quick	</LANG><p><LANG n = "CZECH">	přerychlý	<p>@<LEND>
<L>	149	<pc>	15	<K1>	atisaMtuzwa	</K1><K2>	atisaMtuzwa	</K2>@<K2>	atisaṃtuṣṭa	</K2><p><LANG n = "RUSSIAN">	очень довольный	</LANG><p><LANG n = "ENGLISH">	greatly pleased	</LANG><p><LANG n = "CZECH">	velmi spokojený	<p>@<LEND>
<L>	150	<pc>	16	<K1>	atisarva	</K1><K2>	atisarva	</K2>@<K2>	atisarva	</K2><p><LANG n = "RUSSIAN">	стоящий над всем (всеми); излишне полный	</LANG><p><LANG n = "ENGLISH">	superior to all; unnecessarily complete	</LANG><p><LANG n = "CZECH">	stojící nad vším (všemi); nadbytečně úplný	<p>@<LEND>
<L>	151	<pc>	16	<K1>	atisOhArda	</K1><K2>	atisOhArda	</K2>@<K2>	atisauhārda n.	</K2><p><LANG n = "RUSSIAN">	большая дружба	</LANG><p><LANG n = "ENGLISH">	great friendship 	</LANG><p><LANG n = "CZECH">	velké přátelství	<p>@<LEND>
<L>	152	<pc>	16	<K1>	atisneha	</K1><K2>	atisneha	</K2>@<K2>	atisneha m.	</K2><p><LANG n = "RUSSIAN">	чрезмерная любовь	</LANG><p><LANG n = "ENGLISH">	excessive love, affection for 	</LANG><p><LANG n = "CZECH">	přílišná láska	<p>@<LEND>
<L>	153	<pc>	16	<K1>	atIva	</K1><K2>	atIva	</K2>@<K2>	atīva adv.	</K2><p><LANG n = "RUSSIAN">	чрезмерно, очень много, совсем	</LANG><p><LANG n = "ENGLISH">	exceedingly, very much, quite 	</LANG><p><LANG n = "CZECH">	nadmíru, velmi mnoho, zcela	<p>@<LEND>
<L>	154	<pc>	16	<K1>	atula	</K1><K2>	atula	</K2>@<K2>	atula	</K2><p><LANG n = "RUSSIAN">	не имеющий равного	</LANG><p><LANG n = "ENGLISH">	unequalled	</LANG><p><LANG n = "CZECH">	nemající rovného	<p>@<LEND>
<L>	155	<pc>	16	<K1>	atozayant	</K1><K2>	atozayant	</K2>@<K2>	atoṣayant	</K2><p><LANG n = "RUSSIAN">	неудовлетворительный	</LANG><p><LANG n = "ENGLISH">	not satisfying 	</LANG><p><LANG n = "CZECH">	neuspokojující	<p>@<LEND>
<L>	156	<pc>	16	<K1>	atka	</K1><K2>	atka	</K2>@<K2>	atka m.	</K2><p><LANG n = "RUSSIAN">	одежда	</LANG><p><LANG n = "ENGLISH">	a garment	</LANG><p><LANG n = "CZECH">	šat	<p>@<LEND>
<L>	157	<pc>	16	<K1>	attar	</K1><K2>	attar	</K2>@<K2>	attar m.	</K2><p><LANG n = "RUSSIAN">	едок, обжора	</LANG><p><LANG n = "ENGLISH">	an eater, devourer 	</LANG><p><LANG n = "CZECH">	jedlík, žrout	<p>@<LEND>
<L>	158	<pc>	16	<K1>	atyadButa	</K1><K2>	atyadButa	</K2>@<K2>	atyadbhuta	</K2><p><LANG n = "RUSSIAN">	очень удивительный	</LANG><p><LANG n = "ENGLISH">	very wonderful 	</LANG><p><LANG n = "CZECH">	velmi podivuhodný	<p>@<LEND>
<L>	159	<pc>	16	<K1>	atyanUrjita	</K1><K2>	atyanUrjita	</K2>@<K2>	atyanūrjita	</K2><p><LANG n = "RUSSIAN">	очень беспомощный	</LANG><p><LANG n = "ENGLISH">	exceedingly powerless 	</LANG><p><LANG n = "CZECH">	velmi bezmocný	<p>@<LEND>
<L>	160	<pc>	16	<K1>	atyarTa	</K1><K2>	atyarTa	</K2>@<K2>	atyartha	</K2><p><LANG n = "RUSSIAN">	чрезмерный	</LANG><p><LANG n = "ENGLISH">	excessive	</LANG><p><LANG n = "CZECH">	přílišný	<p>@<LEND>
<L>	161	<pc>	16	<K1>	atyarTam	</K1><K2>	atyarTam	</K2>@<K2>	atyartham adv.	</K2><p><LANG n = "RUSSIAN">	сверх меры	</LANG><p><LANG n = "ENGLISH">	exceedingly	</LANG><p><LANG n = "CZECH">	nad míru	<p>@<LEND>
<L>	162	<pc>	16	<K1>	atyalpa	</K1><K2>	atyalpa	</K2>@<K2>	atyalpa	</K2><p><LANG n = "RUSSIAN">	очень малый (короткий) 	</LANG><p><LANG n = "ENGLISH">	very small, short (said of life) 	</LANG><p><LANG n = "CZECH">	velmi malý (krátký) 	<p>@<LEND>
<L>	163	<pc>	16	<K1>	atyudAra	</K1><K2>	atyudAra	</K2>@<K2>	atyudāra (f. -ā, -ī)	</K2><p><LANG n = "RUSSIAN">	очень величественный или великолепный	</LANG><p><LANG n = "ENGLISH">	very exalted or splendid 	</LANG><p><LANG n = "CZECH">	velmi vznešený nebo nádherný	<p>@<LEND>
<L>	164	<pc>	16	<K1>	atyetavE	</K1><K2>	atyetavE	</K2>@<K2>	atyetavai ved. inf.	</K2><p><LANG n = "RUSSIAN">	перейти	</LANG><p><LANG n = "ENGLISH">	to pass through	</LANG><p><LANG n = "CZECH">	přejíti	<p>@<LEND>
<L>	165	<pc>	16	<K1>	atra	</K1><K2>	atra	</K2>@<K2>	atra, atrā adv.	</K2><p><LANG n = "RUSSIAN">	здесь, сюда; тут, тогда, в том случае или отношении	</LANG><p><LANG n = "ENGLISH">	here, hither; there, then, in this case or respect	</LANG><p><LANG n = "CZECH">	zde, sem; tu, tehdy, v tom případě nebo ohledu	<p>@<LEND>
<L>	166	<pc>	16	<K1>	atraBavant	</K1><K2>	atraBavant	</K2>@<K2>	atrabhavant m. (-vatī f.) 	</K2><p><LANG n = "RUSSIAN">	Ваша честь (обращение) 	</LANG><p><LANG n = "ENGLISH">	His Honour, Your Honour 	</LANG><p><LANG n = "CZECH">	vzácný pán (paní), vzácný pane (paní) 	<p>@<LEND>
<L>	167	<pc>	16	<K1>	atrasta	</K1><K2>	atrasta	</K2>@<K2>	atrasta	</K2><p><LANG n = "RUSSIAN">	незапуганный	</LANG><p><LANG n = "ENGLISH">	without fear	</LANG><p><LANG n = "CZECH">	nezastrašený	<p>@<LEND>
<L>	168	<pc>	16	<K1>	aTa	</K1><K2>	aTa	</K2>@<K2>	atha, athā adv.	</K2><p><LANG n = "RUSSIAN">	итак, значит; дальше, поэтому; но, скорее	</LANG><p><LANG n = "ENGLISH">	now, well; further, therefore; however	</LANG><p><LANG n = "CZECH">	nuže, tedy; dále, proto; ale, spíše	<p>@<LEND>
<L>	169	<pc>	16	<K1>	aTa	</K1><K2>	aTa	</K2>@<K2>	atha kim	</K2><p><LANG n = "RUSSIAN">	как значит ?; конечно	</LANG><p><LANG n = "ENGLISH">	how else?; certainly 	</LANG><p><LANG n = "CZECH">	co tedy?; zajistě	<p>@<LEND>
<L>	170	<pc>	16	<K1>	aTa	</K1><K2>	aTa	</K2>@<K2>	atha vā	</K2><p><LANG n = "RUSSIAN">	или	</LANG><p><LANG n = "ENGLISH">	or	</LANG><p><LANG n = "CZECH">	nebo	<p>@<LEND>
<L>	171	<pc>	16	<K1>	aTa	</K1><K2>	aTa	</K2>@<K2>	atha vā — atha vā	</K2><p><LANG n = "RUSSIAN">	или — или	</LANG><p><LANG n = "ENGLISH">	either — or	</LANG><p><LANG n = "CZECH">	bud — nebo	<p>@<LEND>
<L>	172	<pc>	16	<K1>	aTarvan	</K1><K2>	aTarvan	</K2>@<K2>	atharvan m.	</K2><p><LANG n = "RUSSIAN">	священник связанный c культом огня; первый такой священник; pl. ero потомки	</LANG><p><LANG n = "ENGLISH">	a fire-priest; the first priest of this kind; pl. his descendants	</LANG><p><LANG n = "CZECH">	kněz spjatý s kultem ohně; první kněz toho druhu; pl. jeho potomci	<p>@<LEND>
<L>	173	<pc>	16	<K1>	aTarvaveda	</K1><K2>	aTarvaveda	</K2>@<K2>	atharvaveda m.	</K2><p><LANG n = "RUSSIAN">	четвертый ведический сборник, содержащий заклинания	</LANG><p><LANG n = "ENGLISH">	the fourth Vedic collection of spells	</LANG><p><LANG n = "CZECH">	čtvrtá sbírka vedská, obsahující zaříkadla	<p>@<LEND>
<L>	174	<pc>	16	<K1>	aTo	</K1><K2>	aTo	</K2>@<K2>	atho = atha + u, q. v.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	175	<pc>	16	<K1>	ad	</K1><K2>	ad	</K2>@<K2>	√ad atti 	</K2><p><LANG n = "RUSSIAN">	кушать, съедать	</LANG><p><LANG n = "ENGLISH">	to eat, consume	</LANG><p><LANG n = "CZECH">	jísti, pojídati 	<p>@<LEND>
<L>	176	<pc>	16	<K1>	Adayati	</K1><K2>	Adayati	</K2>@<K2>	 +caus. ādayati	</K2><p><LANG n = "RUSSIAN">	питать, кормить	</LANG><p><LANG n = "ENGLISH">	to feed	</LANG><p><LANG n = "CZECH">	živiti, krmiti 	<p>@<LEND>
<L>	177	<pc>	16	<K1>	adaka	</K1><K2>	adaka	</K2>@<K2>	adaka m.	</K2><p><LANG n = "RUSSIAN">	пожиратель	</LANG><p><LANG n = "ENGLISH">	eater; eating	</LANG><p><LANG n = "CZECH">	požírač	<p>@<LEND>
<L>	178	<pc>	16-17	<K1>	adabDa	</K1><K2>	adabDa	</K2>@<K2>	adabdha	</K2><p><LANG n = "RUSSIAN">	необманутый, которого нельзя обмануть	</LANG><p><LANG n = "ENGLISH">	not deceived, that cannot be deceived	</LANG><p><LANG n = "CZECH">	neoklamaný, kterého nelze obelstít 	<p>@<LEND>
